Date Sent,Company,Email,State,Email Opened,Reply,Phone Call,Converted,Notes
2026-06-24,Smoke Shop - California Prime #2,contact@cali1@gmail.com,California,No,No,No,No,
2026-06-24,Vapor Lounge - Texas Elite #3,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-06-24,Cigar Bar - New York Pro #4,contact@ny1@gmail.com,New York,No,No,No,No,
2026-06-24,Hookah Lounge - Florida Master #5,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-06-24,Tobacco Store - Illinois Supreme #6,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-06-25,Smoke Shop - California Prime #7,contact@cali1@gmail.com,California,No,No,No,No,
2026-06-25,Vapor Lounge - Texas Elite #8,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-06-25,Cigar Bar - New York Pro #9,contact@ny1@gmail.com,New York,No,No,No,No,
2026-06-25,Hookah Lounge - Florida Master #10,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-06-25,Tobacco Store - Illinois Supreme #11,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-06-26,Smoke Shop - California Prime #12,contact@cali1@gmail.com,California,No,No,No,No,
2026-06-26,Vapor Lounge - Texas Elite #13,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-06-26,Cigar Bar - New York Pro #14,contact@ny1@gmail.com,New York,No,No,No,No,
2026-06-26,Hookah Lounge - Florida Master #15,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-06-26,Tobacco Store - Illinois Supreme #16,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-06-27,Smoke Shop - California Prime #17,contact@cali1@gmail.com,California,No,No,No,No,
2026-06-27,Vapor Lounge - Texas Elite #18,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-06-27,Cigar Bar - New York Pro #19,contact@ny1@gmail.com,New York,No,No,No,No,
2026-06-27,Hookah Lounge - Florida Master #20,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-06-27,Tobacco Store - Illinois Supreme #21,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-06-28,Smoke Shop - California Prime #22,contact@cali1@gmail.com,California,No,No,No,No,
2026-06-28,Vapor Lounge - Texas Elite #23,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-06-28,Cigar Bar - New York Pro #24,contact@ny1@gmail.com,New York,No,No,No,No,
2026-06-28,Hookah Lounge - Florida Master #25,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-06-28,Tobacco Store - Illinois Supreme #26,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-06-29,Smoke Shop - California Prime #27,contact@cali1@gmail.com,California,No,No,No,No,
2026-06-29,Vapor Lounge - Texas Elite #28,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-06-29,Cigar Bar - New York Pro #29,contact@ny1@gmail.com,New York,No,No,No,No,
2026-06-29,Hookah Lounge - Florida Master #30,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-06-29,Tobacco Store - Illinois Supreme #31,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-06-30,Smoke Shop - California Prime #32,contact@cali1@gmail.com,California,No,No,No,No,
2026-06-30,Vapor Lounge - Texas Elite #33,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-06-30,Cigar Bar - New York Pro #34,contact@ny1@gmail.com,New York,No,No,No,No,
2026-06-30,Hookah Lounge - Florida Master #35,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-06-30,Tobacco Store - Illinois Supreme #36,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-07-01,Smoke Shop - California Prime #37,contact@cali1@gmail.com,California,No,No,No,No,
2026-07-01,Vapor Lounge - Texas Elite #38,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-07-01,Cigar Bar - New York Pro #39,contact@ny1@gmail.com,New York,No,No,No,No,
2026-07-01,Hookah Lounge - Florida Master #40,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-07-01,Tobacco Store - Illinois Supreme #41,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-07-02,Smoke Shop - California Prime #42,contact@cali1@gmail.com,California,No,No,No,No,
2026-07-02,Vapor Lounge - Texas Elite #43,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-07-02,Cigar Bar - New York Pro #44,contact@ny1@gmail.com,New York,No,No,No,No,
2026-07-02,Hookah Lounge - Florida Master #45,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-07-02,Tobacco Store - Illinois Supreme #46,contact@illinois1@gmail.com,Illinois,No,No,No,No,
2026-07-03,Smoke Shop - California Prime #47,contact@cali1@gmail.com,California,No,No,No,No,
2026-07-03,Vapor Lounge - Texas Elite #48,contact@texas1@gmail.com,Texas,No,No,No,No,
2026-07-03,Cigar Bar - New York Pro #49,contact@ny1@gmail.com,New York,No,No,No,No,
2026-07-03,Hookah Lounge - Florida Master #50,contact@florida1@gmail.com,Florida,No,No,No,No,
2026-07-03,Tobacco Store - Illinois Supreme #51,contact@illinois1@gmail.com,Illinois,No,No,No,No,
